Lec Number,Name,Video Link,Completed
1,Lecture 1: Introduction and Scope,https://www.youtube.com/v/TjZBTDzGeGg,No
10,"Lecture 10: Introduction to Learning, Nearest Neighbors",https://www.youtube.com/v/09mb78oiPkA,No
11,"Lecture 11: Learning: Identification Trees, Disorder",https://www.youtube.com/v/SXBG3RGr_Rc,No
12A,Lecture 12A: Neural Nets,https://www.youtube.com/v/uXt8qF2Zzfo,No
12B,Lecture 12B: Deep Neural Nets,https://www.youtube.com/v/VrMHA3yX_QI,No
13,Lecture 13: Learning: Genetic Algorithms,https://www.youtube.com/v/kHyNqSnzP8Y,No
14,"Lecture 14: Learning: Sparse Spaces, Phonology",https://www.youtube.com/v/L73hY1pBcQI,No
15,"Lecture 15: Learning: Near Misses, Felicity Conditions",https://www.youtube.com/v/sh3EPjhhd40,No
16,Lecture 16: Learning: Support Vector Machines,https://www.youtube.com/v/_PwhiWxHK8o,No
17,Lecture 17: Learning: Boosting,https://www.youtube.com/v/UHBmv7qCey4,No
18,"Lecture 18: Representations: Classes, Trajectories, Transitions",https://www.youtube.com/v/bQI0OmJPby4,No
19,"Lecture 19: Architectures: GPS, SOAR, Subsumption, Society of Mind",https://www.youtube.com/v/PimSbFGrwXM,No
2,Lecture 2: Reasoning: Goal Trees and Problem Solving,https://www.youtube.com/v/PNKj529yY5c,No
21,Lecture 21: Probabilistic Inference I,https://www.youtube.com/v/A6Ud6oUCRak,No
22,Lecture 22: Probabilistic Inference II,https://www.youtube.com/v/EC6bf8JCpDQ,No
23,"Lecture 23: Model Merging, Cross-Modal Coupling, Course Summary",https://www.youtube.com/v/XPEJg_6Cg6o,No
3,Lecture 3: Reasoning: Goal Trees and Rule-Based Expert Systems,https://www.youtube.com/v/leXa7EKUPFk,No
4,"Lecture 4: Search: Depth-First, Hill Climbing, Beam",https://www.youtube.com/v/j1H3jAAGlEA,No
5,"Lecture 5: Search: Optimal, Branch and Bound, A*",https://www.youtube.com/v/gGQ-vAmdAOI,No
6,"Lecture 6: Search: Games, Minimax, and Alpha-Beta",https://www.youtube.com/v/STjW3eH0Cik,No
7,Lecture 7: Constraints: Interpreting Line Drawings,https://www.youtube.com/v/l-tzjenXrvI,No
8,"Lecture 8: Constraints: Search, Domain Reduction",https://www.youtube.com/v/dARl_gGrS4o,No
9,Lecture 9: Constraints: Visual Object Recognition,https://www.youtube.com/v/gvmfbePC2pc,No
